,ROC Shape,ROC ESP,ROC Average
0,0.778612669,0.705265679,0.782559723
1,0.747892531,0.807860069,0.832965648
2,0.906426095,0.685778128,0.838254018
3,0.873862591,0.83669398,0.900799244
4,0.873430823,0.686787898,0.839959029
5,0.901542074,0.681173653,0.834459502
6,0.891359281,0.862550898,0.911578317
7,0.879666562,0.85391995,0.907166089
8,0.9318919,0.618710999,0.831510243
9,0.879686732,0.77596029,0.858784116
,0.866437126,0.751470154,0.853803593
