,ROC Shape,ROC ESP,ROC Average
0,0.777845583,0.67636553,0.797084645
1,0.757192781,0.67513283,0.78075036
2,0.839492762,0.685987095,0.834871156
3,0.726202391,0.691365408,0.770282585
4,0.534584747,0.719058429,0.662203725
5,0.539979333,0.671548645,0.629807731
6,0.62862792,0.655625259,0.663009251
7,0.531395188,0.62090219,0.575837463
8,0.954931205,0.590963458,0.754448703
9,0.920586488,0.644893044,0.789415871
,0.72108384,0.663184189,0.725771149
