,ROC Shape,ROC ESP,ROC Average
0,0.7773331721470019,0.5604690522243714,0.6476184719535784
1,0.7766682785299805,0.5631407156673114,0.6641803675048357
2,0.7901837524177949,0.5612548355899419,0.6679763056092843
3,0.7454787234042554,0.7187983558994198,0.7505802707930368
4,0.7698984526112185,0.5694874274661509,0.6638297872340425
5,0.7684719535783365,0.5691489361702128,0.6618351063829787
6,0.793387330754352,0.5424806576402321,0.6584864603481625
7,0.8120164410058026,0.5586436170212765,0.6739482591876209
8,0.8150507736943907,0.5960348162475821,0.7040377176015473
9,0.7842843326885881,0.5318423597678916,0.620176499032882
