,ROC Shape,ROC ESP,ROC Average
0,0.6071206690561528,0.557968936678614,0.6494623655913978
1,0.6812425328554361,0.7615770609318996,0.7896296296296296
2,0.9764635603345281,0.8319952210274791,0.9085782556750299
3,0.9383751493428913,0.8309199522102747,0.8877419354838709
4,0.8636320191158899,0.8445161290322581,0.8708243727598567
5,0.8973715651135006,0.8368936678614098,0.8834647550776582
6,0.8927120669056153,0.8506571087216249,0.8801433691756272
7,0.8401194743130227,0.8319713261648745,0.8589964157706094
8,0.8719952210274791,0.8499641577060932,0.8681242532855437
9,0.8700119474313023,0.8388052568697731,0.8667144563918758
