,ROC Shape,ROC ESP,ROC Average
0,0.7653618235461117,0.5712470936604963,0.6542866486266985
1,0.8362243999554391,0.5298288359189424,0.6828936540279081
2,0.7555494464029668,0.4801973615648056,0.6223214061113089
3,0.8021532966065454,0.41654358521010093,0.5838014022302
4,0.846703393454582,0.5301702297400736,0.736098982646413
5,0.8201770935526879,0.5806731567428873,0.7083310873213522
6,0.8587159639344379,0.5335697934747063,0.6748205885629476
7,0.9223400929309917,0.4881662120738417,0.6898652752173242
8,0.8963600231429074,0.5598678985593182,0.7054220526033974
9,0.8647577361636678,0.5725839199916629,0.7053609610775109
