,ROC Shape,ROC ESP,ROC Average
0,0.6422551135779627,0.4854764107308048,0.5510946654332408
1,0.7207523897625654,0.4847466337753109,0.5847569123239799
2,0.708993730085312,0.543930517010998,0.6276287388220784
3,0.6656388117997739,0.5299928050159317,0.5807174426970912
4,0.7024668516805427,0.5431082331174838,0.5931339294891561
5,0.6920444033302497,0.5278445883441258,0.5839860211738103
6,0.7058793298386268,0.5284510227155925,0.6220886010895261
7,0.5501387604070305,0.5011614759995888,0.5059307225819714
8,0.6829890019529242,0.5156542296227773,0.5967519786206188
9,0.6818583615993422,0.41887141535615163,0.583729057457087
