,ROC Shape,ROC ESP,ROC Average
0,0.7302380443165541,0.4687587087408214,0.5837756563555175
1,0.8063111232088347,0.4728092858670504,0.6379496950725538
2,0.8426010537981452,0.5243715124530943,0.6461804677930512
3,0.7439938042372277,0.4329710497151635,0.5618377306398616
4,0.7723446036591295,0.39810368181258465,0.5529394228089618
5,0.7560774859201939,0.45634125950265386,0.593108186054349
6,0.8122865345854476,0.43859001030466827,0.6051043752713886
7,0.7551571947971149,0.3860750879785351,0.5467760646536918
8,0.7984076371201368,0.44167492984400414,0.6002696064135218
9,0.8112560677645351,0.5732311939805184,0.6866603153617329
