,ROC Morgan
0,0.9444444444444444
1,0.9109284812409812
2,0.9694376803751804
3,0.9308599386724387
4,0.9370377886002885
5,0.9341179653679654
6,0.9341179653679654
7,0.9341179653679654
8,0.919563943001443
9,0.9336670274170275
