,ROC Morgan
0,0.5548411964230651
1,0.7040960016445676
2,0.7453438174529756
3,0.7086956521739132
4,0.712195497995683
5,0.41076677973070197
6,0.39181313598519885
7,0.4037927844588344
8,0.5886524822695035
9,0.5042604584232706
