,ROC Morgan
0,0.3703524459193707
1,0.3727876106194691
2,0.3802313790560472
3,0.26733038348082594
4,0.5867018498033432
5,0.6076888212881022
6,0.38464079400196655
7,0.3948846177482792
8,0.7145134279744346
9,0.7151049348574239
