,ROC Morgan
0,0.3818365640736492
1,0.6838249113733724
2,0.6368155334772099
3,0.5100843168134596
4,0.3795034316489413
5,0.36961030207583967
6,0.3880064031523211
7,0.41657107304648766
8,0.3624229580230591
9,0.4308388259159165
