,ROC Shape,ROC ESP,ROC Average
0,0.6422551135779627,0.5389865351012437,0.5723507040805839
1,0.7207523897625654,0.5626169184911092,0.6114400246685169
2,0.708993730085312,0.5388323568712098,0.5988693596464179
3,0.6656388117997739,0.5762462740261075,0.6120978517833281
4,0.7024668516805427,0.553057868229006,0.5893514235789907
5,0.6920444033302497,0.5785075547332718,0.6277623599547744
6,0.7058793298386268,0.5828039880768835,0.6525542193442286
7,0.5501387604070305,0.5342378456161989,0.5519477849727619
8,0.6829890019529242,0.5026724226539212,0.5538493164765136
9,0.6818583615993422,0.6057559872545997,0.6852708397574263
