,ROC Shape,ROC ESP,ROC Average
0,0.7462419326052288,0.5868457565935299,0.739089946054245
1,0.754651166137956,0.48790970275140627,0.6779274351873709
2,0.7709162142400672,0.6935699769132895,0.7813311417270702
3,0.794762166581267,0.5853013650521321,0.7397102934487861
4,0.8020422527102418,0.6706200019574767,0.7750110827724779
5,0.7431157271738067,0.6143252750542625,0.7387085259624742
6,0.7799479541489871,0.6985773750237488,0.7452747088253413
7,0.7663924280195518,0.7263461970257867,0.7634950746431924
8,0.7705981242767412,0.7472149136695204,0.7828956837638822
9,0.7972342005722741,0.5923324486306298,0.731095956659163
