,ROC Shape,ROC ESP,ROC Average
0,0.24348373887707692,0.5281124497991968,0.3858177809276321
1,0.352921489881093,0.5536459563745176,0.4589731474919284
2,0.7949838569966139,0.5365383101031578,0.7024962595479958
3,0.615954012126939,0.4968698322702575,0.5355342940389006
4,0.6927907709268447,0.48814867312386806,0.5954799590518939
5,0.25425230333097093,0.550161430033861,0.40896921017402943
6,0.28957004488542404,0.4769666902905741,0.3913693991652886
7,0.7853768013229389,0.6160918182534058,0.7349988188046304
8,0.7861839514922434,0.5134065674462556,0.6318804630285849
9,0.8007520277187179,0.6139262934089298,0.7160996928892039
