,ROC Shape,ROC ESP,ROC Average
0,0.6873425208947886,0.4446134464110128,0.5323869223205506
1,0.5812822640117993,0.4096454031465093,0.47690050393313665
2,0.7376474926253688,0.4993086283185841,0.5932122664700099
3,0.5645203416912488,0.4732131882989184,0.5346761307767945
4,0.6527700958702066,0.5130592428711898,0.5932890855457227
5,0.6696472468043265,0.46503963864306785,0.5496635324483776
6,0.6674118117010815,0.5606793879056048,0.6298549655850542
7,0.6183013765978368,0.5520986971484759,0.590446779744346
8,0.7084716076696166,0.47829861111111116,0.5768344395280236
9,0.6556200835791544,0.562715093411996,0.6364153146509341
