,ROC Shape,ROC ESP,ROC Average
0,0.7773331721470019,0.5883583172147002,0.6444028046421664
1,0.7766803675048355,0.5855053191489361,0.635722920696325
2,0.7901837524177949,0.6177345261121856,0.6761605415860735
3,0.7454787234042554,0.6289168278529981,0.6710106382978723
4,0.7698984526112185,0.6077369439071566,0.6732470986460348
5,0.7684719535783365,0.5870647969052224,0.6301378143133463
6,0.793387330754352,0.6902804642166345,0.7385033849129594
7,0.8120164410058026,0.6233679883945842,0.6804642166344294
8,0.8150507736943907,0.6440159574468085,0.7121131528046422
9,0.7842843326885881,0.5852756286266925,0.6324709864603482
