,ROC Shape,ROC ESP,ROC Average
0,0.7778455830302438,0.6482127891554992,0.7406245677415155
1,0.7571927811816015,0.6761539775917201,0.7399532957421014
2,0.8394927624673517,0.7695624933889879,0.8322592981342707
3,0.726202390541981,0.6743679872417637,0.7274757731832939
4,0.5345847470728473,0.645698570394057,0.610515780994459
5,0.5399793329590483,0.6126068949805128,0.6056866909138249
6,0.6286279200331975,0.6640629449719694,0.6717683338622142
7,0.5313951879968429,0.5951863695169282,0.5699506106541037
8,0.9549312047908479,0.7915761466546245,0.9024255294912165
9,0.9205864883117305,0.8243911766381071,0.8885322332609173
