,ROC Shape,ROC ESP,ROC Average
0,0.8012080488938133,0.7929875978412382,0.7974194931913221
1,0.8323147122246447,0.7892109558359246,0.801720337872452
2,0.9243718503163086,0.9143166898983762,0.9752671646592086
3,0.5110499541322658,0.7482635786363583,0.738768361985775
4,0.9581114407233997,0.8950045867734134,0.9531434290003217
5,0.8423877431883436,0.788257860061713,0.8003383489998451
6,0.8775391067109857,0.7927493238976852,0.8086660233270191
7,0.9125296353217293,0.8069385372362605,0.8224859120530874
8,0.925801493977626,0.794167053861825,0.8196504521248079
9,0.9611494335036993,0.8917640611410939,0.9558597519568247
