,ROC Shape,ROC ESP,ROC Average
0,0.8666919040743741,0.716893509877804,0.830446173891608
1,0.8518828573440856,0.7532536887699406,0.8493745818220233
2,0.8859221044476528,0.6975423460224671,0.8335125189280559
3,0.8806665316758813,0.7082795717857521,0.8309138289255906
4,0.8393406873965559,0.6478358629432688,0.7782223474310668
5,0.8816704229319998,0.6647307814205725,0.8018843539810544
6,0.8823380990949747,0.690614853681727,0.8250878613938093
7,0.8557917209564391,0.7340365179420362,0.8416875022009367
8,0.8395967883931401,0.725304081417051,0.8264089516498223
9,0.8701832940099306,0.7050093319716872,0.8146381660034511
