,ROC Shape,ROC ESP,ROC Average
0,0.6175317129853782,0.728539266001743,0.7198363513120946
1,0.6914278105935896,0.7609785029534231,0.7832986346470417
2,0.6279171104870728,0.7281277234434008,0.752868693715503
3,0.7426527549143023,0.7870025176721217,0.8110293405635712
4,0.7036651496078241,0.7599738549433523,0.7866514960782415
5,0.7338530066815145,0.7169434492108065,0.7758303476324199
6,0.6414495981407959,0.7638714050547111,0.7587271230754333
7,0.6430897162777186,0.7658807010748524,0.7612811077757334
8,0.6088651108744069,0.5853829766631161,0.6846010458022659
9,0.6570519027791227,0.6198315096349376,0.7195337464897841
