,ROC Shape,ROC ESP,ROC Average
0,0.7302380443165541,0.31542654197370035,0.38596491228070173
1,0.8063111232088347,0.6035683964251226,0.6919552297811392
2,0.8426010537981452,0.6274441182379666,0.7174511824444748
3,0.7439938042372277,0.4002942339224493,0.474021218543218
4,0.7723446036591295,0.45287396548260195,0.5668798890465914
5,0.7560774859201939,0.3501124440210241,0.44299055729460335
6,0.8122865345854476,0.4495168471603834,0.5589277960323787
7,0.7551571947971149,0.42078043279606475,0.5066850724891282
8,0.7984076371201368,0.4778384824269762,0.5750069669926572
9,0.8112560677645351,0.633503781618805,0.7256301077777562
