,ROC Morgan
0,0.7459940193240169
1,0.8195968404875085
2,0.9807712927552807
3,0.9139354515886915
4,0.9800207298330892
5,0.7216007243527884
6,0.7895445393568986
7,0.7412761952416693
8,0.7599449587190392
9,0.9826298295149933
